t_s,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101,y102,y103,y104,y105,y106,y107,y108,y109,y110,y111,y112,y113,y114,y115,y116,y117,y118,y119,y120,y121,y122,y123,y124,y125,y126,y127,y128,y129,y130,y131,y132,y133,y134,y135,y136,y137,y138,y139,y140,y141,y142,y143,y144,y145,y146,y147,y148,y149,y150,y151,y152,y153,y154,y155,y156,y157,y158,y159,y160,y161,y162,y163,y164,y165,y166,y167,y168,y169,y170,y171,y172,y173,y174,y175,y176,y177,y178,y179,y180,y181,y182,y183,y184,y185,y186,y187,y188,y189,y190,y191,y192,y193,y194,y195,y196,y197,y198,y199,y200,y201,y202,y203,y204,y205,y206,y207,y208,y209,y210,y211,y212,y213,y214,y215,y216,y217,y218,y219,y220,y221,y222,y223,y224,y225,y226,y227,y228,y229,y230,y231,y232,y233,y234,y235,y236,y237,y238,y239,y240,y241,y242,y243,y244,y245,y246,y247,y248,y249,y250,y251,y252,y253,y254,y255,y256,y257,y258,y259,y260,y261,y262,y263,y264,y265,y266,y267,y268,y269,y270,y271,y272,y273,y274,y275,y276,y277,y278,y279,y280,y281,y282,y283,y284,y285,y286,y287
380.031,509.630,509.030,507.730,506.830,505.810,504.910,504.410,503.530,501.830,500.390,499.430,498.930,497.950,497.390,495.850,493.950,494.130,493.170,492.110,490.990,490.050,488.770,488.590,487.190,486.390,485.130,484.930,483.830,482.150,481.050,480.030,479.830,479.290,477.650,475.750,471.850,468.130,467.144,466.157,465.171,464.185,463.198,462.212,461.226,460.239,459.253,458.267,457.281,456.294,455.308,454.322,453.335,452.349,451.363,450.376,449.390,448.404,447.417,446.431,445.445,444.458,443.472,442.486,441.499,440.513,439.527,438.541,437.554,436.568,435.582,434.595,433.609,432.623,431.636,430.650,430.350,429.130,428.050,427.230,426.550,425.950,425.750,426.190,425.650,424.150,423.910,421.470,420.950,419.330,418.910,416.350,416.450,414.450,413.690,412.350,411.450,409.330,408.550,407.550,406.290,405.230,403.650,402.030,401.150,400.050,399.230,398.450,397.050,396.330,395.330,394.910,394.050,393.450,392.650,391.610,391.050,390.510,389.230,389.430,388.750,388.130,387.550,386.650,386.270,385.290,385.150,384.030,384.330,382.130,383.450,382.230,381.830,381.550,381.050,379.850,380.110,379.450,378.471,377.491,376.512,375.532,374.553,373.573,372.594,371.614,370.635,369.655,368.676,367.696,366.717,365.737,364.758,363.778,362.799,361.819,360.840,359.861,358.881,357.902,356.922,355.943,354.963,353.984,353.004,352.025,351.045,350.066,349.086,348.107,347.127,346.148,345.168,344.189,343.209,342.230,342.790,342.750,340.930,340.430,339.250,338.070,337.310,335.350,334.910,334.370,332.030,331.350,330.650,329.730,328.330,327.950,326.390,325.610,324.650,323.630,322.510,320.830,320.650,320.430,319.230,317.630,317.250,316.810,314.750,314.950,314.130,313.230,312.930,312.070,311.030,310.930,310.430,308.750,309.450,309.010,308.150,307.830,306.910,306.450,305.430,305.570,305.810,304.790,305.850,305.310,304.250,304.210,304.130,302.750,300.650,300.110,299.830,299.530,298.890,297.830,296.590,296.390,296.930,295.310,295.870,296.150,296.010,296.730,296.850,298.470,296.530,298.510,298.530,299.930,300.630,299.810,299.590,298.030,296.210,295.690,296.590,294.930,292.390,292.510,291.830,290.970,288.630,286.290,284.470,284.090,283.890,282.050,281.270,281.050,281.350,280.950,280.950,280.950,280.950,280.950,280.950,280.950,280.950,281.050,281.110,280.950,280.950,280.950,280.950,280.950,280.950,280.950,280.950
392.017,566.000,564.750,564.600,563.450,562.350,560.650,560.400,560.200,559.550,558.450,557.800,557.100,556.150,554.650,554.100,553.300,552.200,551.450,550.250,549.900,549.200,546.750,546.550,545.750,545.150,543.750,543.000,542.100,541.350,540.750,539.950,539.550,538.550,537.000,534.800,531.250,529.300,528.100,526.400,525.622,524.845,524.067,523.289,522.512,521.734,520.957,520.179,519.401,518.624,517.846,517.068,516.291,515.513,514.736,513.958,513.180,512.403,511.625,510.847,510.070,509.292,508.514,507.737,506.959,506.182,505.404,504.626,503.849,503.071,502.293,501.516,500.738,499.961,499.183,498.405,497.628,496.850,496.850,496.250,496.100,497.100,495.950,495.050,495.600,494.450,492.900,492.850,491.550,490.050,489.350,488.550,487.100,485.750,484.250,483.000,482.500,480.200,479.100,478.200,476.650,475.350,474.100,472.600,471.550,469.700,468.350,467.250,466.300,465.450,464.000,463.550,462.400,460.650,460.300,459.450,458.150,457.550,456.950,456.250,456.050,455.400,454.550,454.300,453.250,452.750,452.200,451.750,451.500,450.750,451.200,449.800,449.900,449.100,448.550,448.850,448.000,447.200,446.750,445.600,444.850,442.250,436.500,435.736,434.971,434.207,433.442,432.678,431.913,431.149,430.384,429.620,428.855,428.091,427.326,426.562,425.797,425.033,424.268,423.504,422.739,421.975,421.211,420.446,419.682,418.917,418.153,417.388,416.624,415.859,415.095,414.330,413.566,412.801,412.037,411.272,410.508,409.743,408.979,408.214,407.450,406.250,405.150,403.650,402.350,401.050,399.100,398.050,395.900,394.200,393.500,392.250,390.600,388.300,386.950,386.550,385.300,382.800,381.800,380.750,379.100,377.350,376.050,374.750,373.400,372.250,370.150,368.850,367.500,366.400,365.900,364.300,362.900,361.450,360.800,359.100,358.300,357.300,355.250,354.750,352.800,352.650,350.400,351.000,348.650,348.050,348.100,347.200,345.550,345.150,343.450,342.700,341.800,340.300,339.600,338.850,337.100,337.050,336.300,334.750,333.650,333.700,332.900,334.250,333.950,333.950,335.100,333.500,333.100,332.600,332.550,332.450,329.900,329.650,326.400,325.950,324.800,322.450,321.600,321.400,319.900,317.300,316.200,311.750,312.250,311.100,309.300,307.100,305.250,305.100,304.350,304.250,303.650,302.500,302.650,302.100,302.250,302.500,302.850,303.050,303.950,303.700,301.050,299.200,295.200,293.250,292.850,293.250,291.650
404.047,609.190,608.970,608.290,607.370,607.250,606.750,606.010,605.190,604.550,604.450,603.390,603.050,601.670,601.250,600.970,600.190,599.070,599.190,597.290,597.190,596.170,595.590,594.750,594.650,593.390,593.590,592.550,592.090,590.870,589.990,589.030,589.190,588.570,587.250,584.890,582.850,581.650,580.790,580.055,579.319,578.584,577.849,577.114,576.378,575.643,574.908,574.173,573.437,572.702,571.967,571.232,570.496,569.761,569.026,568.291,567.555,566.820,566.085,565.349,564.614,563.879,563.144,562.408,561.673,560.938,560.203,559.467,558.732,557.997,557.262,556.526,555.791,555.056,554.321,553.585,552.850,552.690,553.030,552.910,553.070,552.930,553.450,551.790,551.650,551.210,549.050,547.930,547.010,547.610,545.070,545.550,543.350,542.650,541.370,540.770,538.530,536.870,535.750,535.230,533.530,531.890,531.290,530.350,528.290,527.550,526.350,525.450,524.290,523.390,522.350,521.190,519.950,519.250,519.350,518.650,517.090,517.030,516.290,515.950,514.670,513.950,513.750,513.790,512.550,511.790,511.490,511.050,510.390,509.490,509.170,508.690,508.390,507.590,507.290,506.350,505.650,505.490,504.750,503.751,502.752,501.753,500.754,499.755,498.756,497.757,496.758,495.759,494.761,493.762,492.763,491.764,490.765,489.766,488.767,487.768,486.769,485.770,484.771,483.772,482.773,481.774,480.775,479.776,478.777,477.778,476.779,475.781,474.782,473.783,472.784,471.785,470.786,469.787,468.788,467.789,466.790,465.830,464.710,463.450,461.390,459.410,458.590,457.170,455.190,453.870,453.070,450.490,450.090,447.590,446.450,444.490,442.630,441.850,439.790,437.850,436.430,436.070,433.750,432.330,430.390,429.450,428.290,425.690,423.830,423.390,421.550,420.170,417.690,416.970,415.050,413.490,411.510,410.890,409.030,407.550,405.810,403.850,403.050,401.690,399.550,398.450,397.130,395.930,394.790,392.650,392.230,391.290,388.790,387.290,386.230,384.850,383.750,382.550,381.210,379.650,378.490,376.670,375.390,373.190,372.290,371.010,370.790,370.650,370.370,371.290,369.450,369.890,369.490,368.550,367.810,365.410,362.230,360.910,358.550,357.410,355.150,354.530,351.770,351.090,350.050,347.350,344.630,341.490,341.770,339.330,336.430,333.530,332.150,331.230,330.370,327.650,326.870,326.270,325.890,324.630,324.610,325.790,326.690,327.050,327.390,326.570,325.410,320.550,318.430,317.750,316.590,315.130,314.890
416.032,650.260,649.370,648.860,649.370,648.460,647.650,647.460,646.490,647.050,645.470,645.350,644.860,643.460,643.970,643.560,642.590,642.160,641.450,640.660,640.670,640.060,639.550,639.450,638.660,637.260,637.360,636.050,635.150,635.250,634.360,633.450,633.160,632.950,630.860,630.250,628.850,628.060,627.465,626.871,626.276,625.681,625.086,624.492,623.897,623.302,622.707,622.113,621.518,620.923,620.328,619.734,619.139,618.544,617.949,617.355,616.760,616.165,615.571,614.976,614.381,613.786,613.192,612.597,612.002,611.407,610.813,610.218,609.623,609.028,608.434,607.839,607.244,606.649,606.055,605.460,605.450,603.980,604.260,604.350,604.650,604.560,604.650,603.860,603.550,603.160,601.860,600.490,600.850,598.660,598.250,597.060,595.860,595.050,593.470,592.450,591.860,591.070,589.350,587.760,587.550,585.460,584.970,582.950,582.360,581.290,579.560,578.570,577.760,576.950,575.950,574.660,573.570,572.550,572.650,571.650,570.260,570.150,570.050,568.350,568.260,567.160,565.860,566.160,566.050,564.670,564.550,563.360,563.270,562.470,562.450,561.160,560.480,559.780,559.750,559.260,558.050,557.350,557.550,556.070,555.009,553.949,552.888,551.828,550.767,549.707,548.646,547.586,546.525,545.465,544.404,543.344,542.283,541.223,540.162,539.102,538.041,536.981,535.920,534.859,533.799,532.738,531.678,530.617,529.557,528.496,527.436,526.375,525.315,524.254,523.194,522.133,521.073,520.012,518.952,517.891,516.831,515.770,514.960,512.860,511.050,509.680,509.050,506.600,505.090,504.250,501.360,499.880,498.770,497.020,494.950,493.380,491.850,490.280,487.880,485.350,484.410,482.450,480.990,479.460,476.880,475.750,473.650,472.170,469.860,468.250,466.050,464.220,463.260,461.260,458.570,457.050,455.250,453.460,450.990,449.560,447.570,445.870,444.460,442.760,441.050,439.870,437.650,436.460,434.850,432.860,431.170,430.350,428.570,427.350,425.860,424.460,422.290,420.960,419.270,418.180,416.370,413.870,412.770,410.750,409.560,407.860,407.020,406.750,406.520,405.590,404.980,402.310,402.240,402.330,401.230,397.790,394.570,394.810,392.720,390.880,388.100,385.600,383.960,383.360,379.510,377.350,372.160,371.960,370.200,366.300,363.980,359.070,359.470,357.660,354.870,353.960,353.070,351.940,350.730,350.160,349.860,352.560,351.910,351.870,350.180,351.650,348.950,345.000,343.550,341.500,340.460,338.470,337.870
428.017,687.550,687.550,687.470,687.950,686.970,686.950,686.710,686.050,686.370,686.190,685.950,685.350,685.070,685.370,684.870,684.910,684.870,684.150,684.190,683.470,683.970,682.470,682.550,681.670,681.550,681.390,680.870,680.370,680.050,679.450,678.450,677.770,677.570,675.970,674.850,671.770,671.206,670.643,670.079,669.515,668.952,668.388,667.824,667.261,666.697,666.133,665.569,665.006,664.442,663.878,663.315,662.751,662.187,661.624,661.060,660.496,659.933,659.369,658.805,658.242,657.678,657.114,656.551,655.987,655.423,654.859,654.296,653.732,653.168,652.605,652.041,651.477,650.914,650.350,650.270,649.650,649.290,648.950,648.450,647.750,647.670,646.870,645.610,645.950,645.350,644.270,643.870,643.670,642.950,641.950,641.070,640.550,640.070,639.270,638.350,637.670,636.590,636.650,635.870,634.690,634.070,632.070,632.870,631.670,631.270,630.070,629.690,629.470,627.670,627.370,626.150,626.870,624.650,624.450,624.390,623.550,623.270,622.870,621.970,621.250,620.690,620.070,619.350,618.970,617.590,618.090,616.370,616.550,616.370,615.610,614.050,613.950,613.890,612.390,611.550,610.850,610.650,609.450,607.670,606.461,605.252,604.043,602.834,601.625,600.416,599.207,597.998,596.789,595.581,594.372,593.163,591.954,590.745,589.536,588.327,587.118,585.909,584.700,583.491,582.282,581.073,579.864,578.655,577.446,576.237,575.028,573.819,572.611,571.402,570.193,568.984,567.775,566.566,565.357,564.148,562.939,561.730,559.950,559.090,556.270,554.450,552.950,551.430,549.870,548.190,545.710,544.470,542.150,540.670,538.870,536.990,535.370,533.270,530.170,528.950,527.530,524.870,523.350,521.450,519.670,517.990,515.690,513.890,511.570,510.990,508.570,505.970,504.270,502.090,500.650,498.650,495.890,495.150,493.150,491.470,489.250,487.690,485.470,483.870,481.870,479.570,477.670,476.670,474.370,472.670,469.770,467.430,466.690,464.290,462.610,460.070,457.210,455.690,453.750,451.690,449.670,448.590,446.230,444.110,442.970,439.970,439.250,439.170,437.810,437.910,436.610,433.950,433.590,431.630,432.110,429.450,425.130,423.530,423.550,421.010,418.870,415.010,413.550,412.510,410.490,406.730,402.590,400.930,398.490,395.970,392.170,389.390,389.230,387.110,385.550,383.190,380.770,380.230,379.010,379.450,376.990,378.670,378.650,376.950,376.590,376.150,375.210,368.510,365.070,362.910,361.450,360.750,359.290
440.001,727.610,727.750,728.850,729.180,728.980,728.250,729.350,728.910,728.710,728.850,728.510,728.650,728.780,727.350,726.750,726.550,726.610,725.980,725.750,725.480,724.750,723.710,722.610,722.380,722.750,721.180,721.350,719.910,719.580,718.380,717.750,717.480,715.980,714.780,711.680,709.480,709.232,708.984,708.736,708.487,708.239,707.991,707.743,707.495,707.247,706.998,706.750,706.502,706.254,706.006,705.758,705.509,705.261,705.013,704.765,704.517,704.269,704.021,703.772,703.524,703.276,703.028,702.780,702.532,702.283,702.035,701.787,701.539,701.291,701.043,700.794,700.546,700.298,700.050,699.340,700.080,699.380,699.150,699.250,698.050,697.910,698.210,698.210,697.980,697.650,696.980,696.410,695.550,694.850,694.580,694.750,693.380,693.350,692.780,691.600,691.050,690.050,690.150,688.650,687.710,687.380,685.580,685.380,684.340,683.950,682.580,681.550,680.550,680.150,678.750,677.650,675.910,675.050,674.410,673.680,671.080,670.480,669.580,667.850,667.510,665.850,664.180,662.950,661.910,661.150,659.180,657.980,656.880,655.450,654.480,653.950,652.980,650.710,649.480,648.880,647.780,645.650,644.450,643.110,641.992,640.875,639.757,638.639,637.522,636.404,635.287,634.169,633.051,631.934,630.816,629.698,628.581,627.463,626.346,625.228,624.110,622.993,621.875,620.757,619.640,618.522,617.404,616.287,615.169,614.052,612.934,611.816,610.699,609.581,608.463,607.346,606.228,605.111,603.993,602.875,601.758,600.640,597.400,597.040,595.970,593.450,592.350,591.080,588.600,587.960,586.540,583.850,580.680,579.100,577.940,575.750,573.050,572.170,569.070,567.640,565.440,563.030,560.580,557.550,556.340,554.350,550.680,549.050,546.500,544.300,541.840,539.110,536.310,533.700,531.580,528.480,526.050,523.580,521.050,519.010,516.150,514.010,511.050,507.880,505.280,503.080,500.950,497.950,495.580,493.550,490.950,488.280,485.650,483.350,480.980,478.580,476.050,473.610,470.480,467.980,465.650,463.150,460.750,458.810,456.880,456.050,457.410,455.100,456.170,456.950,453.820,452.960,454.170,453.720,451.400,449.600,443.220,444.570,442.620,441.320,437.430,435.880,433.610,433.390,429.780,427.240,422.840,421.820,419.830,416.510,412.210,409.900,408.250,406.760,403.180,402.790,401.150,401.050,399.480,399.400,397.840,398.720,400.310,399.880,400.110,399.760,393.070,386.530,381.910,380.650,379.180,377.980,377.010
452.001,760.360,760.660,761.870,760.760,761.190,760.860,760.560,760.050,760.150,759.860,759.660,758.880,758.560,757.760,756.550,755.870,755.360,754.200,754.160,753.950,752.460,751.360,751.270,750.670,750.060,749.460,749.360,748.050,748.160,747.060,747.460,746.560,746.970,745.460,744.970,744.560,744.462,744.365,744.267,744.169,744.072,743.974,743.877,743.779,743.681,743.584,743.486,743.388,743.291,743.193,743.096,742.998,742.900,742.803,742.705,742.607,742.510,742.412,742.314,742.217,742.119,742.022,741.924,741.826,741.729,741.631,741.533,741.436,741.338,741.241,741.143,741.045,740.948,740.850,740.370,740.250,740.160,739.360,738.960,738.960,738.480,738.360,737.850,737.960,737.250,736.150,736.070,735.270,733.960,732.950,731.560,731.250,729.570,729.150,727.550,726.750,725.960,725.070,723.750,722.970,721.660,721.060,720.050,718.950,717.460,716.850,716.160,715.560,713.500,712.360,711.350,710.450,709.570,708.460,707.260,706.550,705.950,704.350,702.970,702.180,700.660,699.760,698.790,698.170,696.550,696.680,695.660,694.650,693.350,693.390,692.160,691.260,690.290,690.350,689.360,688.160,687.380,685.860,684.628,683.396,682.164,680.933,679.701,678.469,677.237,676.005,674.773,673.542,672.310,671.078,669.846,668.614,667.382,666.151,664.919,663.687,662.455,661.223,659.991,658.759,657.528,656.296,655.064,653.832,652.600,651.368,650.137,648.905,647.673,646.441,645.209,643.977,642.746,641.514,640.282,639.050,637.650,635.850,634.550,633.060,630.960,628.570,626.750,624.750,622.460,620.950,617.860,615.560,614.260,611.450,609.660,606.650,604.560,601.650,599.570,597.760,596.050,593.260,590.170,587.970,586.150,583.460,581.550,578.650,576.350,573.850,572.350,569.350,566.860,564.710,562.850,559.410,557.110,554.690,552.990,550.570,547.780,545.380,542.670,540.160,537.780,535.750,532.970,531.150,529.070,526.660,524.350,522.250,520.190,516.960,515.490,513.360,510.880,508.990,506.700,503.670,501.950,499.660,497.060,494.960,493.290,494.380,492.200,491.490,491.120,487.330,487.270,484.820,484.970,481.410,478.600,476.460,472.470,469.570,467.890,464.830,464.320,457.280,460.210,454.510,450.270,445.830,444.830,442.530,438.950,434.370,430.860,430.680,427.580,424.870,422.680,423.260,421.170,422.890,422.810,422.670,423.250,421.600,420.150,419.590,418.250,416.760,414.610,413.090,411.270,408.860,407.950,406.870
464.019,788.450,788.850,788.960,788.460,789.360,788.760,788.490,787.660,787.060,787.660,787.260,786.680,785.760,784.860,783.760,784.070,783.430,783.570,782.670,782.750,781.850,780.860,779.950,779.670,779.050,778.350,777.950,777.260,776.450,776.450,776.070,776.050,775.650,775.470,774.050,773.860,773.854,773.849,773.843,773.838,773.832,773.827,773.821,773.816,773.810,773.805,773.799,773.794,773.788,773.783,773.777,773.772,773.766,773.761,773.755,773.749,773.744,773.738,773.733,773.727,773.722,773.716,773.711,773.705,773.700,773.694,773.689,773.683,773.678,773.672,773.667,773.661,773.656,773.650,772.860,772.760,772.850,771.950,772.770,771.660,771.750,771.860,771.470,770.850,771.150,769.860,769.560,768.970,768.580,767.560,766.150,765.850,765.160,764.060,762.850,762.250,761.660,760.950,758.960,759.570,757.650,756.860,755.360,754.980,753.360,752.550,751.550,750.160,748.560,748.250,746.360,745.470,744.660,742.270,742.860,741.060,739.650,738.950,737.470,736.450,735.360,734.960,732.950,732.650,731.450,729.760,729.160,728.280,726.950,726.070,725.770,724.960,724.450,724.300,723.550,722.360,720.260,720.370,719.263,718.155,717.048,715.941,714.833,713.726,712.618,711.511,710.404,709.296,708.189,707.082,705.974,704.867,703.759,702.652,701.545,700.437,699.330,698.223,697.115,696.008,694.901,693.793,692.686,691.578,690.471,689.364,688.256,687.149,686.042,684.934,683.827,682.719,681.612,680.505,679.397,678.290,675.550,674.360,673.650,670.860,668.650,666.050,664.660,663.070,660.060,657.760,654.580,652.260,650.260,648.050,646.650,643.360,641.050,638.570,636.260,633.560,631.970,629.460,625.350,623.950,620.860,618.650,616.150,613.260,610.760,607.480,604.950,603.150,601.160,597.990,595.080,593.260,590.770,587.880,585.850,582.510,580.260,578.450,574.770,572.850,569.790,567.160,564.950,562.570,560.570,557.370,555.350,553.100,550.750,547.070,545.060,542.500,539.360,536.790,533.680,531.860,528.870,526.460,523.570,521.970,520.450,519.580,517.660,516.700,515.540,513.600,512.490,510.830,508.760,502.770,499.920,497.390,494.780,492.570,490.990,485.750,485.360,483.020,480.330,475.950,472.690,467.040,466.610,464.310,457.180,454.400,451.970,450.430,448.050,445.860,441.820,441.050,440.910,441.300,441.600,442.480,441.950,440.670,439.960,437.870,437.260,434.110,432.860,430.850,429.480,427.860,425.660,424.260
476.003,802.450,801.750,803.250,803.350,804.050,802.550,802.450,802.450,802.950,801.950,802.750,802.250,802.150,802.350,801.950,801.650,801.650,801.050,801.650,802.150,802.350,801.750,801.450,802.150,800.550,800.250,801.450,800.450,800.550,799.650,799.950,799.450,799.850,799.850,798.850,798.550,798.587,798.624,798.661,798.697,798.734,798.771,798.808,798.845,798.882,798.918,798.955,798.992,799.029,799.066,799.103,799.139,799.176,799.213,799.250,799.287,799.324,799.361,799.397,799.434,799.471,799.508,799.545,799.582,799.618,799.655,799.692,799.729,799.766,799.803,799.839,799.876,799.913,799.950,799.350,800.650,799.550,800.550,799.750,799.950,799.350,799.250,798.150,798.050,797.850,796.950,795.250,795.050,794.550,792.850,792.350,791.650,791.050,790.850,788.250,787.650,786.550,786.150,785.150,783.950,782.350,781.950,780.150,780.150,777.750,777.050,776.050,775.050,773.650,773.250,771.850,771.050,769.750,769.250,767.950,767.050,766.550,765.650,764.350,763.950,764.150,764.350,763.050,762.450,761.550,760.150,759.350,759.050,758.150,757.350,757.150,755.950,755.350,754.550,753.750,751.650,750.750,749.650,746.050,744.903,743.755,742.608,741.461,740.313,739.166,738.018,736.871,735.724,734.576,733.429,732.282,731.134,729.987,728.839,727.692,726.545,725.397,724.250,723.103,721.955,720.808,719.661,718.513,717.366,716.218,715.071,713.924,712.776,711.629,710.482,709.334,708.187,707.039,705.892,704.745,703.597,702.450,701.650,700.250,699.250,696.150,693.250,691.850,690.250,688.850,685.350,683.450,681.950,680.050,677.150,675.350,672.350,670.450,668.150,665.650,662.550,661.850,659.050,654.550,652.250,650.550,647.650,645.750,644.250,641.850,639.850,637.150,633.550,632.850,628.650,626.650,624.550,622.750,619.350,615.950,614.650,611.950,610.250,606.950,605.150,603.450,598.950,597.550,596.150,592.750,591.850,590.050,585.950,583.250,581.150,579.550,577.150,574.550,571.150,569.750,566.950,565.750,564.050,560.650,559.250,556.650,555.050,553.450,549.750,546.750,543.150,539.750,538.150,534.050,528.450,525.950,523.450,521.450,517.850,514.750,510.150,507.450,506.950,502.350,498.450,494.050,493.350,487.050,483.250,477.750,474.550,473.250,470.850,468.150,466.450,464.750,464.750,465.450,465.650,464.850,464.050,466.250,469.150,467.450,466.650,463.650,462.850,461.350,458.950,457.050,455.050,453.550,451.950
488.004,818.120,818.440,820.120,819.440,819.340,819.540,820.120,819.950,819.440,819.640,818.450,820.540,820.350,819.730,819.450,820.240,821.220,821.120,820.640,821.640,820.940,821.950,819.550,821.030,821.640,822.250,821.640,820.950,822.400,821.150,822.240,821.240,821.550,821.630,820.340,820.377,820.414,820.451,820.488,820.526,820.563,820.600,820.637,820.674,820.711,820.748,820.785,820.822,820.859,820.897,820.934,820.971,821.008,821.045,821.082,821.119,821.156,821.193,821.231,821.268,821.305,821.342,821.379,821.416,821.453,821.490,821.527,821.564,821.602,821.639,821.676,821.713,821.750,822.740,822.350,822.450,822.730,823.030,823.220,822.640,822.750,822.020,821.740,820.640,820.730,820.110,819.740,818.340,818.150,817.010,816.440,816.250,814.940,813.050,813.750,812.050,811.430,810.540,809.640,807.640,807.820,806.740,805.650,804.150,803.450,802.350,801.450,800.330,799.040,798.350,797.440,796.550,796.050,794.950,794.590,793.840,793.850,792.550,792.120,791.950,791.540,790.120,790.850,789.840,789.040,788.240,787.750,787.930,787.340,785.820,785.130,784.340,783.740,783.800,782.330,781.130,780.750,779.513,778.276,777.039,775.803,774.566,773.329,772.092,770.855,769.618,768.382,767.145,765.908,764.671,763.434,762.197,760.961,759.724,758.487,757.250,756.013,754.776,753.539,752.303,751.066,749.829,748.592,747.355,746.118,744.882,743.645,742.408,741.171,739.934,738.697,737.461,736.224,734.987,733.750,732.030,728.790,726.750,724.930,723.140,720.440,719.330,717.520,716.810,715.840,714.550,713.130,711.630,709.930,708.100,706.290,703.420,701.590,700.160,696.650,694.240,692.320,690.410,687.040,686.410,682.990,680.240,679.040,678.340,674.040,671.400,668.810,666.710,664.520,661.110,658.790,655.720,654.900,651.000,648.810,647.130,644.370,641.300,638.970,636.440,634.020,630.950,628.140,626.400,623.740,621.630,620.580,618.830,616.700,612.980,611.550,608.050,606.240,604.740,600.930,598.530,597.250,594.670,591.730,591.230,589.110,584.550,582.400,579.750,576.940,573.700,567.780,563.840,559.250,556.050,553.460,550.140,547.780,542.820,538.630,534.830,532.350,528.540,524.810,519.240,519.070,516.880,512.740,508.040,503.380,499.740,499.340,494.540,492.210,488.950,486.960,485.600,484.550,484.050,483.600,486.080,489.240,491.470,489.240,487.950,485.900,484.900,483.030,480.430,479.340,476.150,473.950,472.220
