t_s,max_C,p99_C,p95_C,median_C,min_C
21.493,451.550,446.850,444.450,280.950,280.950
23.431,447.450,442.950,440.650,280.950,280.950
26.168,443.350,439.050,436.750,280.950,280.950
28.903,446.150,438.350,435.650,280.950,280.950
31.655,442.550,436.650,433.950,280.950,280.950
34.393,440.550,434.550,431.950,280.950,280.950
37.128,435.050,431.150,428.650,280.950,280.950
39.865,430.650,426.250,424.150,280.950,280.950
42.601,437.950,426.350,423.650,280.950,280.950
45.337,430.550,424.750,422.150,280.950,280.950
48.072,427.150,422.350,419.850,280.950,280.950
50.809,423.850,418.850,416.650,280.950,280.950
53.562,418.450,415.150,412.750,280.950,280.950
56.297,418.250,414.250,411.750,280.950,280.950
59.034,419.350,412.150,409.650,280.950,280.950
61.769,415.750,410.550,407.950,280.950,280.950
64.506,415.250,406.550,404.150,280.950,280.950
67.242,406.850,403.050,400.850,280.950,280.950
69.978,406.350,402.350,399.750,280.950,280.950
72.715,404.550,400.350,398.050,280.950,280.950
75.465,285.650,280.950,280.950,280.950,280.950
78.201,282.650,280.950,280.950,280.950,280.950
80.938,379.850,372.550,280.950,280.950,280.950
83.675,396.250,389.350,387.050,280.950,280.950
86.412,392.950,388.650,386.250,280.950,280.950
89.147,391.350,386.750,384.250,280.950,280.950
91.884,388.550,384.450,382.050,280.950,280.950
94.619,390.550,382.550,380.050,280.950,280.950
97.371,281.350,280.950,280.950,280.950,280.950
100.107,283.550,280.950,280.950,280.950,280.950
102.844,281.450,280.950,280.950,280.950,280.950
105.579,280.950,280.950,280.950,280.950,280.950
108.315,282.250,280.950,280.950,280.950,280.950
111.053,281.750,280.950,280.950,280.950,280.950
113.788,282.250,280.950,280.950,280.950,280.950
116.525,280.950,280.950,280.950,280.950,280.950
119.278,286.250,280.950,280.950,280.950,280.950
122.013,281.650,280.950,280.950,280.950,280.950
124.749,280.950,280.950,280.950,280.950,280.950
127.486,280.950,280.950,280.950,280.950,280.950
130.221,284.350,280.950,280.950,280.950,280.950
132.958,281.950,280.950,280.950,280.950,280.950
135.694,287.150,280.950,280.950,280.950,280.950
138.430,283.250,280.950,280.950,280.950,280.950
141.182,281.850,280.950,280.950,280.950,280.950
143.919,282.050,280.950,280.950,280.950,280.950
146.654,285.050,280.950,280.950,280.950,280.950
149.391,284.550,280.950,280.950,280.950,280.950
152.129,282.250,280.950,280.950,280.950,280.950
154.863,282.650,280.950,280.950,280.950,280.950
157.598,282.850,280.950,280.950,280.950,280.950
160.335,281.950,280.950,280.950,280.950,280.950
163.086,281.750,280.950,280.950,280.950,280.950
165.824,282.750,280.950,280.950,280.950,280.950
168.560,284.050,280.950,280.950,280.950,280.950
171.297,282.350,280.950,280.950,280.950,280.950
174.031,281.650,280.950,280.950,280.950,280.950
176.768,282.350,280.950,280.950,280.950,280.950
179.505,281.950,280.950,280.950,280.950,280.950
182.241,280.950,280.950,280.950,280.950,280.950
184.993,285.650,280.950,280.950,280.950,280.950
187.729,281.350,280.950,280.950,280.950,280.950
190.465,281.750,280.950,280.950,280.950,280.950
193.203,281.050,280.950,280.950,280.950,280.950
195.938,281.550,280.950,280.950,280.950,280.950
198.674,282.550,280.950,280.950,280.950,280.950
201.410,281.650,280.950,280.950,280.950,280.950
204.146,282.350,280.950,280.950,280.950,280.950
206.898,280.950,280.950,280.950,280.950,280.950
209.635,281.450,280.950,280.950,280.950,280.950
212.370,281.950,280.950,280.950,280.950,280.950
215.107,281.950,280.950,280.950,280.950,280.950
217.843,282.450,280.950,280.950,280.950,280.950
220.580,281.450,280.950,280.950,280.950,280.950
223.315,361.550,330.435,302.850,280.950,280.950
226.052,436.650,410.435,329.950,280.950,280.950
228.804,544.750,479.950,383.850,280.950,280.950
231.540,559.650,532.350,426.650,280.950,280.950
234.277,609.750,581.050,460.550,280.950,280.950
237.013,686.650,633.350,487.175,293.950,280.950
239.749,762.950,715.650,513.350,318.850,282.150
242.484,715.750,679.850,549.250,320.350,282.150
245.220,731.850,702.035,552.150,333.350,296.650
247.957,763.450,730.550,577.250,346.150,309.750
250.710,792.650,758.850,600.550,358.950,320.050
253.446,870.550,804.335,641.250,375.150,335.350
256.183,876.150,812.735,664.550,385.250,342.350
258.918,853.750,819.550,672.050,392.850,350.150
261.654,877.750,843.535,693.950,403.950,360.050
264.392,906.150,872.350,717.250,415.450,367.750
267.127,969.450,909.750,752.950,428.150,381.250
269.862,978.450,908.935,762.550,435.550,390.150
272.615,946.050,909.335,768.775,440.950,393.550
275.351,963.950,929.550,791.050,450.350,402.650
278.088,984.550,903.550,829.750,445.150,405.250
280.823,613.150,556.250,512.550,401.250,366.050
283.560,493.150,445.050,419.050,344.850,311.350
286.296,417.550,375.650,353.575,289.450,280.950
289.031,407.350,348.150,327.750,280.950,280.950
291.767,392.350,339.835,320.150,280.950,280.950
294.519,386.150,333.050,314.050,280.950,280.950
297.256,370.950,326.550,308.450,280.950,280.950
299.992,366.550,320.750,303.350,280.950,280.950
302.729,355.350,315.350,297.450,280.950,280.950
305.464,351.250,310.450,292.150,280.950,280.950
308.201,343.750,306.150,287.350,280.950,280.950
310.936,336.750,302.250,283.850,280.950,280.950
313.673,333.150,297.135,280.950,280.950,280.950
316.425,327.850,292.250,280.950,280.950,280.950
319.162,320.750,288.050,280.950,280.950,280.950
321.898,316.750,284.250,280.950,280.950,280.950
324.633,310.950,280.950,280.950,280.950,280.950
327.370,310.050,280.950,280.950,280.950,280.950
330.105,304.750,280.950,280.950,280.950,280.950
332.842,301.250,280.950,280.950,280.950,280.950
335.578,298.350,280.950,280.950,280.950,280.950
338.330,292.050,280.950,280.950,280.950,280.950
341.067,289.450,280.950,280.950,280.950,280.950
343.802,286.250,280.950,280.950,280.950,280.950
346.539,284.050,280.950,280.950,280.950,280.950
349.275,283.650,280.950,280.950,280.950,280.950
352.011,284.950,280.950,280.950,280.950,280.950
354.748,286.150,280.950,280.950,280.950,280.950
357.483,285.750,280.950,280.950,280.950,280.950
360.236,287.650,280.950,280.950,280.950,280.950
362.971,285.150,280.950,280.950,280.950,280.950
365.707,285.950,280.950,280.950,280.950,280.950
368.444,315.450,280.950,280.950,280.950,280.950
371.181,537.950,483.850,349.550,280.950,280.950
373.918,550.850,543.850,520.150,292.750,280.950
376.653,492.850,475.650,437.550,280.950,280.950
379.390,511.450,496.350,455.950,280.950,280.950
382.141,525.850,512.850,474.750,284.150,280.950
384.880,551.450,537.350,488.950,290.350,280.950
387.615,556.850,537.450,503.750,292.550,280.950
390.351,564.750,549.050,516.750,297.550,280.950
393.088,575.750,561.050,528.650,303.450,280.950
395.823,600.950,583.635,541.650,310.050,280.950
398.561,593.250,582.550,552.450,314.350,282.950
401.296,605.950,591.050,563.450,317.550,280.950
404.047,617.050,601.850,574.450,322.950,290.950
406.785,621.050,612.150,584.575,328.550,298.150
409.519,634.050,624.650,594.150,335.750,305.450
412.256,639.750,627.450,603.350,337.850,306.850
414.991,651.350,638.650,616.075,345.150,311.250
417.727,663.450,648.250,625.975,350.950,318.150
420.466,674.450,660.350,636.950,357.050,320.950
423.200,690.350,679.750,644.575,364.150,323.450
425.953,681.350,675.450,651.850,368.050,330.650
428.689,695.550,683.650,663.750,372.950,335.050
431.426,700.950,692.250,671.350,378.350,340.350
434.161,709.550,701.750,678.875,384.550,346.050
436.897,728.850,719.550,693.850,390.450,352.650
439.633,729.050,713.450,698.575,393.650,353.650
442.370,734.450,719.450,704.550,398.350,355.550
445.106,735.550,726.450,711.450,403.250,361.150
447.858,757.750,746.335,723.450,409.050,366.750
450.594,753.250,744.750,724.150,413.550,370.950
453.330,755.650,746.750,733.750,416.550,373.050
456.066,761.150,753.450,743.150,420.650,373.950
458.804,774.050,760.650,750.650,425.150,380.750
461.538,778.050,767.650,755.550,429.250,383.850
464.275,790.950,778.150,764.950,434.150,388.350
467.013,800.550,789.650,776.250,437.650,392.550
469.763,793.350,783.350,776.450,421.950,391.250
472.501,801.650,789.450,782.350,443.850,396.650
475.236,805.250,796.050,788.850,447.750,400.950
477.972,819.350,809.950,799.550,451.750,403.050
480.709,820.450,811.250,799.150,454.250,406.850
483.444,818.550,810.950,804.350,456.750,407.050
486.183,828.050,816.550,810.750,460.450,411.650
488.916,833.550,822.550,815.250,463.550,415.250
491.669,835.750,826.350,820.250,466.650,414.750
494.405,850.250,839.450,831.750,470.750,420.350
497.141,854.550,836.950,830.250,472.550,421.450
499.877,849.250,839.850,833.450,474.550,423.250
502.615,856.150,844.250,838.150,477.950,425.950
505.349,857.150,849.050,843.050,480.050,428.350
508.086,871.050,856.550,850.450,483.250,427.850
